CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,395,EL AL ISRAEL AIRLINES,2024-02-28T06:15:00,2024-02-28T06:45:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
LY,004,EL AL ISRAEL AIRLINES,2024-02-28T06:50:00,2024-02-28T06:51:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,381,EL AL ISRAEL AIRLINES,2024-02-28T06:50:00,2024-02-28T07:00:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
SK,3185,SAS,2024-02-28T06:50:00,2024-02-28T07:00:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8910,AIR PORTUGAL,2024-02-28T06:50:00,2024-02-28T07:00:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
LY,541,EL AL ISRAEL AIRLINES,2024-02-28T06:50:00,2024-02-28T07:04:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
LY,573,EL AL ISRAEL AIRLINES,2024-02-28T07:00:00,2024-02-28T07:10:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,DEPARTED,המריאה
LY,361,EL AL ISRAEL AIRLINES,2024-02-28T07:00:00,2024-02-28T07:13:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,78-99,D,DEPARTED,המריאה
LY,311,EL AL ISRAEL AIRLINES,2024-02-28T07:00:00,2024-02-28T07:14:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
LY,2365,EL AL ISRAEL AIRLINES,2024-02-28T07:05:00,2024-02-28T07:18:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,DEPARTED,המריאה
IZ,801,ARKIA  ISRAELI  AIRLINES,2024-02-28T07:00:00,2024-02-28T07:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,DEPARTED,המריאה
LY,5101,EL AL ISRAEL AIRLINES,2024-02-28T07:00:00,2024-02-28T07:40:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
AR,7850,AEROLINEAS ARGENTINAS S.A.,2024-02-28T07:45:00,2024-02-28T07:46:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
B6,6468,JETBLUE AIRWAYS CORPORATION,2024-02-28T07:45:00,2024-02-28T07:46:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7438,DELTA AIRLINES,2024-02-28T07:45:00,2024-02-28T07:46:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,018,EL AL ISRAEL AIRLINES,2024-02-28T07:45:00,2024-02-28T07:46:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,551,EL AL ISRAEL AIRLINES,2024-02-28T07:30:00,2024-02-28T07:46:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,78-99,D,DEPARTED,המריאה
6H,661,ISRAIR AIRLINES,2024-02-28T07:20:00,2024-02-28T07:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,34-37,B,DEPARTED,המריאה
6H,043,ISRAIR AIRLINES,2024-02-28T07:30:00,2024-02-28T07:53:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G5,G,DEPARTED,המריאה
6H,883,ISRAIR AIRLINES,2024-02-28T07:45:00,2024-02-28T07:55:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,37-40,B,DEPARTED,המריאה
LY,611,EL AL ISRAEL AIRLINES,2024-02-28T08:20:00,2024-02-28T08:32:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,DEPARTED,המריאה
S7,4482,SIBERIA AIRLINES,2024-02-28T08:20:00,2024-02-28T08:32:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,DEPARTED,המריאה
AM,7885,AERO MEXICO,2024-02-28T09:00:00,2024-02-28T09:00:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
LY,003,EL AL ISRAEL AIRLINES,2024-02-28T09:00:00,2024-02-28T09:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,323,EL AL ISRAEL AIRLINES,2024-02-28T09:00:00,2024-02-28T09:00:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
SK,3163,SAS,2024-02-28T09:00:00,2024-02-28T09:00:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
LY,5129,EL AL ISRAEL AIRLINES,2024-02-28T09:05:00,2024-02-28T09:05:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,78-99,D,ON TIME,בזמן
EK,2369,EMIRATES,2024-02-28T08:55:00,2024-02-28T09:10:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDING,בנחיתה
FZ,1549,FLYDUBAI,2024-02-28T08:55:00,2024-02-28T09:10:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDING,בנחיתה
AA,9261,AMERICAN AIRLINES,2024-02-28T09:15:00,2024-02-28T09:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
AM,7863,AERO MEXICO,2024-02-28T09:15:00,2024-02-28T09:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
LY,315,EL AL ISRAEL AIRLINES,2024-02-28T09:15:00,2024-02-28T09:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
SK,3181,SAS,2024-02-28T09:15:00,2024-02-28T09:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
IZ,802,ARKIA  ISRAELI  AIRLINES,2024-02-28T09:25:00,2024-02-28T09:30:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
IZ,603,ARKIA  ISRAELI  AIRLINES,2024-02-28T09:45:00,2024-02-28T09:45:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,ON TIME,בזמן
6H,044,ISRAIR AIRLINES,2024-02-28T10:00:00,2024-02-28T10:00:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
6H,583,ISRAIR AIRLINES,2024-02-28T10:05:00,2024-02-28T10:05:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,34-37,B,ON TIME,בזמן
EK,2370,EMIRATES,2024-02-28T10:10:00,2024-02-28T10:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
FZ,1550,FLYDUBAI,2024-02-28T10:10:00,2024-02-28T10:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
IZ,413,ARKIA  ISRAELI  AIRLINES,2024-02-28T10:15:00,2024-02-28T10:15:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,60-63,C,ON TIME,בזמן
AM,7868,AERO MEXICO,2024-02-28T10:20:00,2024-02-28T10:17:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
AR,7852,AEROLINEAS ARGENTINAS S.A.,2024-02-28T10:20:00,2024-02-28T10:17:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
B6,6450,JETBLUE AIRWAYS CORPORATION,2024-02-28T10:20:00,2024-02-28T10:17:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
DL,7425,DELTA AIRLINES,2024-02-28T10:20:00,2024-02-28T10:17:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,002,EL AL ISRAEL AIRLINES,2024-02-28T10:20:00,2024-02-28T10:17:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
IZ,807,ARKIA  ISRAELI  AIRLINES,2024-02-28T10:20:00,2024-02-28T10:40:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,ON TIME,בזמן
A4,5025,AZIMUTH AIRLINES,2024-02-28T10:55:00,2024-02-28T10:50:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,FINAL,סופי
RRR,9941,ROYAL AIR FORCE,2024-02-28T11:00:00,2024-02-28T11:00:00,D,AKT,AKROTIRI,אקרוטירי,AKROTIRI,קפריסין,CYPRUS,3,65-68,C,ON TIME,בזמן
6H,047,ISRAIR AIRLINES,2024-02-28T11:00:00,2024-02-28T11:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G5,G,ON TIME,בזמן
EK,2450,EMIRATES,2024-02-28T10:20:00,2024-02-28T11:06:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
FZ,1081,FLYDUBAI,2024-02-28T10:20:00,2024-02-28T11:06:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
EY,593,ETIHAD AIRWAYS,2024-02-28T11:20:00,2024-02-28T11:33:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
LY,9600,EL AL ISRAEL AIRLINES,2024-02-28T11:20:00,2024-02-28T11:33:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
A3,926,AEGEAN  AIRLINES,2024-02-28T12:00:00,2024-02-28T12:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
JU,7620,AIR SERBIA,2024-02-28T12:00:00,2024-02-28T12:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
A4,5026,AZIMUTH AIRLINES,2024-02-28T12:05:00,2024-02-28T12:05:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,38-40,B,ON TIME,בזמן
LY,542,EL AL ISRAEL AIRLINES,2024-02-28T12:05:00,2024-02-28T12:05:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
EK,2451,EMIRATES,2024-02-28T11:35:00,2024-02-28T12:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
FZ,1082,FLYDUBAI,2024-02-28T11:35:00,2024-02-28T12:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
LY,973,EL AL ISRAEL AIRLINES,2024-02-28T12:10:00,2024-02-28T12:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,ON TIME,בזמן
LX,254,SWISS INT`L  AIRLINES,2024-02-28T11:50:00,2024-02-28T12:10:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,FINAL,סופי
EK,2363,EMIRATES,2024-02-28T11:40:00,2024-02-28T12:24:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
FZ,1211,FLYDUBAI,2024-02-28T11:40:00,2024-02-28T12:24:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,FINAL,סופי
A3,927,AEGEAN  AIRLINES,2024-02-28T12:50:00,2024-02-28T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-37,B,ON TIME,בזמן
EK,4978,EMIRATES,2024-02-28T12:50:00,2024-02-28T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-37,B,ON TIME,בזמן
FB,1514,BULGARIA  AIR,2024-02-28T12:50:00,2024-02-28T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-37,B,ON TIME,בזמן
JU,7621,AIR SERBIA,2024-02-28T12:50:00,2024-02-28T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-37,B,ON TIME,בזמן
LX,255,SWISS INT`L  AIRLINES,2024-02-28T12:50:00,2024-02-28T12:50:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,24-33,A,ON TIME,בזמן
EK,2364,EMIRATES,2024-02-28T12:55:00,2024-02-28T12:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
FZ,1212,FLYDUBAI,2024-02-28T12:55:00,2024-02-28T12:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
AM,7871,AERO MEXICO,2024-02-28T13:00:00,2024-02-28T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AR,7855,AEROLINEAS ARGENTINAS S.A.,2024-02-28T13:00:00,2024-02-28T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6455,JETBLUE AIRWAYS CORPORATION,2024-02-28T13:00:00,2024-02-28T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7430,DELTA AIRLINES,2024-02-28T13:00:00,2024-02-28T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
EY,594,ETIHAD AIRWAYS,2024-02-28T13:00:00,2024-02-28T13:00:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,69-74,C,ON TIME,בזמן
LY,007,EL AL ISRAEL AIRLINES,2024-02-28T13:00:00,2024-02-28T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,9601,EL AL ISRAEL AIRLINES,2024-02-28T13:00:00,2024-02-28T13:00:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,69-74,C,ON TIME,בזמן
EK,2345,EMIRATES,2024-02-28T13:05:00,2024-02-28T13:05:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
FZ,1125,FLYDUBAI,2024-02-28T13:05:00,2024-02-28T13:05:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
IZ,808,ARKIA  ISRAELI  AIRLINES,2024-02-28T13:05:00,2024-02-28T13:05:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
6H,584,ISRAIR AIRLINES,2024-02-28T13:15:00,2024-02-28T13:15:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
BZ,111,BLUE BIRD AIRWAYS,2024-02-28T11:50:00,2024-02-28T13:20:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DELAYED,עיכוב
B6,6466,JETBLUE AIRWAYS CORPORATION,2024-02-28T13:30:00,2024-02-28T13:20:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
DL,7436,DELTA AIRLINES,2024-02-28T13:30:00,2024-02-28T13:20:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,016,EL AL ISRAEL AIRLINES,2024-02-28T13:30:00,2024-02-28T13:20:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,574,EL AL ISRAEL AIRLINES,2024-02-28T13:25:00,2024-02-28T13:25:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
AM,7874,AERO MEXICO,2024-02-28T13:50:00,2024-02-28T13:26:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
B6,6462,JETBLUE AIRWAYS CORPORATION,2024-02-28T13:50:00,2024-02-28T13:26:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,006,EL AL ISRAEL AIRLINES,2024-02-28T13:50:00,2024-02-28T13:26:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
IZ,511,ARKIA  ISRAELI  AIRLINES,2024-02-28T13:30:00,2024-02-28T13:30:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,56-61,C,ON TIME,בזמן
6H,884,ISRAIR AIRLINES,2024-02-28T13:30:00,2024-02-28T13:30:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LY,375,EL AL ISRAEL AIRLINES,2024-02-28T13:40:00,2024-02-28T13:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
TP,8920,AIR PORTUGAL,2024-02-28T13:40:00,2024-02-28T13:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
LY,552,EL AL ISRAEL AIRLINES,2024-02-28T13:45:00,2024-02-28T13:45:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
6H,048,ISRAIR AIRLINES,2024-02-28T13:45:00,2024-02-28T13:45:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
LY,327,EL AL ISRAEL AIRLINES,2024-02-28T14:05:00,2024-02-28T14:05:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
SK,3159,SAS,2024-02-28T14:05:00,2024-02-28T14:05:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
BZ,112,BLUE BIRD AIRWAYS,2024-02-28T12:40:00,2024-02-28T14:10:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,62-64,C,ON TIME,בזמן
AF,962,AIR FRANCE,2024-02-28T14:20:00,2024-02-28T14:20:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
DL,8457,DELTA AIRLINES,2024-02-28T14:20:00,2024-02-28T14:20:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
EK,2346,EMIRATES,2024-02-28T14:20:00,2024-02-28T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
FZ,1126,FLYDUBAI,2024-02-28T14:20:00,2024-02-28T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
B6,6482,JETBLUE AIRWAYS CORPORATION,2024-02-28T14:20:00,2024-02-28T14:24:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
DL,7442,DELTA AIRLINES,2024-02-28T14:20:00,2024-02-28T14:24:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,026,EL AL ISRAEL AIRLINES,2024-02-28T14:20:00,2024-02-28T14:24:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-02-28T14:30:00,2024-02-28T14:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,281,EL AL ISRAEL AIRLINES,2024-02-28T14:30:00,2024-02-28T14:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
LY,386,EL AL ISRAEL AIRLINES,2024-02-28T14:30:00,2024-02-28T14:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
6H,725,ISRAIR AIRLINES,2024-02-28T14:30:00,2024-02-28T14:30:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,38-41,B,ON TIME,בזמן
LY,5107,EL AL ISRAEL AIRLINES,2024-02-28T14:35:00,2024-02-28T14:35:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
6H,767,ISRAIR AIRLINES,2024-02-28T14:45:00,2024-02-28T14:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,41-44,B,ON TIME,בזמן
LY,2366,EL AL ISRAEL AIRLINES,2024-02-28T14:55:00,2024-02-28T14:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
BZ,701,BLUE BIRD AIRWAYS,2024-02-28T13:30:00,2024-02-28T15:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,DELAYED,עיכוב
IZ,211,ARKIA  ISRAELI  AIRLINES,2024-02-28T15:00:00,2024-02-28T15:00:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,45-48,B,CANCELED,מבוטלת
LO,153,LOT POLISH AIRLINES,2024-02-28T15:00:00,2024-02-28T15:00:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
LY,362,EL AL ISRAEL AIRLINES,2024-02-28T15:25:00,2024-02-28T15:25:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
AC,9020,AIR CANADA,2024-02-28T15:30:00,2024-02-28T15:30:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
LH,686,LUFTHANSA,2024-02-28T15:30:00,2024-02-28T15:30:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
NH,5459,ALL NIPPON AIRWAYS,2024-02-28T15:30:00,2024-02-28T15:30:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SN,7173,BRUSSELS AIRLINES,2024-02-28T15:30:00,2024-02-28T15:30:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
UA,9120,UNITED AIRLINES,2024-02-28T15:30:00,2024-02-28T15:30:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
LY,2372,EL AL ISRAEL AIRLINES,2024-02-28T15:35:00,2024-02-28T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
LY,343,EL AL ISRAEL AIRLINES,2024-02-28T15:35:00,2024-02-28T15:35:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
SK,3154,SAS,2024-02-28T15:35:00,2024-02-28T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SK,3191,SAS,2024-02-28T15:35:00,2024-02-28T15:35:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
LY,346,EL AL ISRAEL AIRLINES,2024-02-28T15:45:00,2024-02-28T15:45:00,A,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
LY,387,EL AL ISRAEL AIRLINES,2024-02-28T15:45:00,2024-02-28T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
SK,3183,SAS,2024-02-28T15:45:00,2024-02-28T15:45:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
BZ,702,BLUE BIRD AIRWAYS,2024-02-28T14:30:00,2024-02-28T15:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,65-67,C,DELAYED,עיכוב
